"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1921100069241004192","Sat May 10 09:48:39 +0000 2025","46","@SammiSoh Harusnya yg kaya gini yg dikasih MBG biar pada keracunan semua. Mereka semua modar maka negara akan jadi lebih baik.","1921140318893719701","","SammiSoh","in","Jakarta Capital Region, Indone","0","2","0","https://x.com/AgniParasthra/status/1921140318893719701","1779824274498551808","AgniParasthra"
"1921140091734442315","Sat May 10 09:47:45 +0000 2025","0","Mitra MBG di Bogor Minta Maaf soal Dugaan Kasus Keracunan Massal https://t.co/H3NRoBksnY","1921140091734442315","","","in","Indonesia","0","3","0","https://x.com/TirtoID/status/1921140091734442315","4187275698","TirtoID"
"1921115691123351593","Sat May 10 08:10:48 +0000 2025","19","Yg keracunan MBG jumlahnya ratusan &amp; berulang di berbagai lokasi. Artinya ada yg salah dg sistem penyediaan &amp; distribusi MBG. Bukan krn kesalahan individu siswa yg nggak pakai sendok atau nggak cuci tangan spt disinyalir Presiden Prabowo. Bukan krn ogah tanggung jawab kan?","1921115691123351593","","","in","Jakarta - indonesia","0","2","6","https://x.com/tatakujiyati/status/1921115691123351593","147063992","tatakujiyati"
"1921115639365685712","Sat May 10 08:10:35 +0000 2025","0","170 Siswa Keracunan Menu MBG MPR RI Minta Lakukan Evaluasi Kualitas https://t.co/r9rXzocLOY https://t.co/rP8eS3u6JD","1921115639365685712","https://pbs.twimg.com/media/GqksfhHXAAAeiGv.jpg","","in","Yogyakarta, Indonesia","0","1","0","https://x.com/Harian_Jogja/status/1921115639365685712","118371948","Harian_Jogja"
"1921114319732765115","Sat May 10 08:05:21 +0000 2025","0","Waka MPR RI: Kasus Keracunan di Bogor Jadi Momentum Evaluasi Perbaikan Kualitas MBG https://t.co/j9nJcoBr3g","1921114319732765115","","","in","Bogor, Indonesia","0","0","0","https://x.com/MediaVoi/status/1921114319732765115","1578222594","MediaVoi"
"1921102204024299617","Sat May 10 08:04:50 +0000 2025","1","@salahpraktikan 10k di warteg = kenyang nikmat. 10k di mbg = keracunan hambar. ","1921114192498548767","","salahpraktikan","in","","0","0","0","https://x.com/pePaiiya/status/1921114192498548767","1842868068684636161","pePaiiya"
"1920989451989238013","Sat May 10 08:01:53 +0000 2025","0","@ferrykoto Pak bpk aja yg mengkritik dngn cara yg benar n objektif aja di serang sama buzzer2 rezim... Wajar klo akhirnya ada perlawanan spt membuat meme... Krn buat mereka rezim itu ga pernah mau mendengar kritik dan saran dr rakyatnya.. cnth MBG yg berulang kali terjadi kasus keracunan","1921113447720235453","","ferrykoto","in","","0","0","0","https://x.com/RaintRico/status/1921113447720235453","1797955130387763200","RaintRico"
"1921097801125024079","Sat May 10 07:59:46 +0000 2025","0","@NenkMonica Makin lama gua makin mikir daripada anak2 yg dikasih MBG mending tu mereka yg dikasih MBG keknya mereka yang kurang nutrisi biar mereka mati keracunan aj sekalian","1921112916008243469","","NenkMonica","in","","0","0","0","https://x.com/kuratorbensin/status/1921112916008243469","1826267265530314753","kuratorbensin"
"1921112779089428787","Sat May 10 07:59:13 +0000 2025","1","Kasus Keracunan MBG di Bogor Penanggung Jawab Bina Insani Menyesal https://t.co/OW4KXBmMhh","1921112779089428787","","","in","","0","0","0","https://x.com/yopy_md/status/1921112779089428787","986997546223525888","yopy_md"
"1921112281238168062","Sat May 10 07:57:15 +0000 2025","0","Breaking news... Program Makan Bergizi Gratis (MBG) akan didukung oleh perlindungan asuransi. Hal ini untuk memitigasi berbagai risiko salah satunya keracunan. Lanjutkan MBG #IndonesiaEmasGiziBerkualitas Wasit anwar abbas Baseus MC1 MC1 Nyaman Sampe Lupa https://t.co/6daRlkH5o9","1921112281238168062","https://pbs.twimg.com/media/Gqkpas9XQAA8tu3.jpg","","in","","0","1","0","https://x.com/alfiah67/status/1921112281238168062","1492516437482610690","alfiah67"
"1921105200766464252","Sat May 10 07:29:06 +0000 2025","1","Konoha cuma urus MBG yg bikin banyak anak keracunan Ijazah Palsu Gubernur kek Presiden dkk... suckss.. gw kesel kenapa mesti bertahan di negara yg pemerintahannya payah begini. ","1921105200766464252","","","in","Jakarta , Indonesia","0","3","0","https://x.com/gitasundarii/status/1921105200766464252","982941852","gitasundarii"
"1920398518868717923","Sat May 10 07:21:35 +0000 2025","0","@DS_yantie MBG harus tetap eksis yang penting evaluasi bukan cuma basa-basi tapi langsung ke sasaran buat bikin program ini makin oke dan bebas drama keracunan! Lanjutkan MBG","1921103307654783061","","DS_yantie","in","","0","0","0","https://x.com/bangbuddie/status/1921103307654783061","1373921084873928712","bangbuddie"
"1920833980053528901","Sat May 10 07:19:38 +0000 2025","0","@regulusaja Keracunan MBG? Bukan akhir tapi awal perbaikan! Mari kita dukung inovasi dan evaluasi total biar MBG jadi lebih canggih lebih aman dan makin bantu anak-anak Indonesia tumbuh sehat dan cerdas! Lanjutkan MBG","1921102817307041966","","regulusaja","in","","0","1","0","https://x.com/JackaSombong/status/1921102817307041966","1373927661970493448","JackaSombong"
"1921102764270026790","Sat May 10 07:19:26 +0000 2025","0","58% liat cewe ngepost gambar AI Prabowo ciuman kepanasan tapi liat pejabat korup besar an + dihukum ringan anak keracunan karna MBG isilop udh gabener presidennya make it clear dia ga peduli rakyatnya sendiri dsb kok malah b aja ya ","1921102764270026790","","","in","She/her","0","0","0","https://x.com/gloriouslilium/status/1921102764270026790","1461426832176136194","gloriouslilium"
"1920833980053528901","Sat May 10 07:16:29 +0000 2025","0","@regulusaja Angka keracunan MBG memang bikin prihatin tapi mari kita dukung evaluasi total dan terobosan baru. Dengan kerja sama semua pihak MBG bisa jadi lebih baik dan wujudkan gizi optimal untuk anak-anak Indonesia! Lanjutkan MBG","1921102022171857204","","regulusaja","in","","0","0","0","https://x.com/RobbyKamandanu/status/1921102022171857204","1373933350423990272","RobbyKamandanu"
"1920266134240014474","Sat May 10 07:10:25 +0000 2025","0","@bucindalgonna Ya ini krn politik kita baru ga stabil. Bill Gates ketemu sama Prabowo scara publik jadi dikairkan sama politik. Mana Wowo koar2 MBG di tengah berita keracunan MBG. Sayang bgt uji klinis yg bagus gini malah jadi kontroversi. Pdhl kaya dulu Wolbachia ya jalan jalan aja.","1921100498184138960","","bucindalgonna","in","Random Country","0","0","0","https://x.com/ikan_mainan/status/1921100498184138960","59319789","ikan_mainan"
"1920676408965111897","Sat May 10 07:08:33 +0000 2025","0","@direktoridosen Bikin meme AI wowo jomok: menghina pemerintah. Tangkap penjarakan!! Meanwhile Ada yang kritik tentang MBG banyak anak keracunan kebijakan aneh dan lainnya demo besar2an ga di dengar. Pemerintah be like: https://t.co/TN5F5n99ha","1921100029122449680","https://pbs.twimg.com/media/GqkeS8UbAAAAoJ0.jpg","direktoridosen","in","","0","0","0","https://x.com/twilight_redsky/status/1921100029122449680","1595705134805585923","twilight_redsky"
"1921090489068945829","Sat May 10 06:30:39 +0000 2025","2","Bukan maksud membela prabs n genk tapi wacana pemberian mbg untuk ibu hamil itu udah ada dari pemerintah sebelum ada bill gates kemari. Tentu tetap harus waspada mengingat ada kasus keracunan. Contoh berita dari Februari: https://t.co/R0wOwSXFiU","1921090489068945829","https://pbs.twimg.com/media/GqkVnNGbMAAmUPX.png","","in","Indonesia","0","0","1","https://x.com/alfasaur_/status/1921090489068945829","1575525778011279372","alfasaur_"
"1921089150750454089","Sat May 10 06:25:20 +0000 2025","0","Klo pun ibunya kerja ttp aja lbh sehat nasi uduk depan komplek yg hrganya 10rb pk telor dpd MBG. Sama kan harganya? Yg pnting si ibu bs kontrol makanan anaknya. Dpd tau beres peran keluarga dipretelin dikit2 trs anaknya keracunan atau entah dikasih apa &amp; siapa yg masak.","1921089150750454089","","","in","ÜT: -6.274669,106.724385","0","2","0","https://x.com/hastarika/status/1921089150750454089","158651508","hastarika"
"1921087773185904768","Sat May 10 06:19:51 +0000 2025","0","Buzzer dibriefing pake keyword LANJUTKAN MBG wkwk anak bangsa keracunan yg untung buzzer ","1921087773185904768","","","in","","0","0","0","https://x.com/baberockabye/status/1921087773185904768","352378162","baberockabye"
"1920830619069628680","Sat May 10 06:10:09 +0000 2025","1","@barengwarga MBG hrs dihentikan. Kenapa gak ada yg nuntut distop sih? keuntungannya: 1. gak ada yg keracunan lg. 2. efisiensi anggaran batal uang rakyt dikembalikan ke program yg lbh struktural. 3. pembangunan bs normal lg. 4. ortu bs kontrol sumber &amp; kualitas makanan anaknya.","1921085332193190323","","barengwarga","in","ÜT: -6.274669,106.724385","0","0","0","https://x.com/hastarika/status/1921085332193190323","158651508","hastarika"
"1921082038724997304","Sat May 10 05:57:04 +0000 2025","0","tau gasih keponakan gua tuh juni masuk tk ini trs kemarin ada keracunan ini jadi watir bgt ya allah huhuhu sialan mbg","1921082038724997304","","","in","97'","0","1","0","https://x.com/urfavwon/status/1921082038724997304","1189846616187891712","urfavwon"
"1921081907757936901","Sat May 10 05:56:33 +0000 2025","0","tolol lu aja situ yg makan tuh MBG MBG tai biar ngerasain keracunan juga","1921081907757936901","","","in","isekai","0","0","0","https://x.com/eitarintaa/status/1921081907757936901","1379295268047220738","eitarintaa"
"1921078052508848295","Sat May 10 05:41:14 +0000 2025","1","Otoritas Jasa Keuangan menyebut industri asuransi saat tngh enggodok skema asuransi bagi program Makan Bergizi Gratis (MBG). Dngn adanya pmbayaran premi risiko keracunan makanan diharap bisa diminimalisir. Lanjutkan MBG #IndonesiaEmasGiziBerkualitas . Wasit 6th Maomao Tsubaki https://t.co/aO5fCpocTh","1921078052508848295","https://pbs.twimg.com/media/GqkKSwibMAAb5OP.jpg","","in","","0","0","0","https://x.com/ExxaLatifa/status/1921078052508848295","1307860511317352450","ExxaLatifa"
"1920955003134439464","Sat May 10 05:40:06 +0000 2025","3","@fida_rachman @NOTASLIMBOY Begini doang dipermasalahkan giliran orang orang yang sakit karena keracunan MBG malah nyari alesan ini itu terus nyalahin rakyatnya ","1921077769032642871","","fida_rachman","in","United Kingdom","0","1","0","https://x.com/AdrienMandels/status/1921077769032642871","789097698506878976","AdrienMandels"
"1921077341838512427","Sat May 10 05:38:24 +0000 2025","1","Dan angka korban keracunan MBG","1921077341838512427","","","in","Sydney, New South Wales","0","0","0","https://x.com/kiminoseidei/status/1921077341838512427","552823983","kiminoseidei"
"1921076040853540931","Sat May 10 05:33:14 +0000 2025","0","MBG ono keracunan 0.05% tep lanjut. Resto nek dapur e ketoke ono tikus lewat wae iso ditutup. Sungguh standar ra cetha","1921076040853540931","","","in","","0","0","0","https://x.com/Mas_Ichad/status/1921076040853540931","869518814","Mas_Ichad"
